X1,X2,X3
5.11352,5.21911,4.88627
4.91103,4.42952,5.07561
5.94744,4.47150,5.62516
5.92223,5.93908,5.69116
4.87141,4.68826,4.50964
5.53051,5.92574,4.15281
5.16710,5.64232,4.96226
4.06207,5.69815,5.62646
4.21290,4.77222,4.95835
4.14526,5.48364,4.44039
4.11654,5.32911,5.77896
5.48569,4.73437,4.41120
4.74963,5.68518,4.75819
4.85473,4.09819,5.31533
4.88787,4.02724,5.91263
5.41150,5.86149,5.88853
4.34699,4.73085,5.73420
5.88563,4.45337,4.39717
4.06112,4.07472,4.06304
5.31503,4.03068,4.31410
4.39715,4.06521,5.93268
4.72753,5.68586,4.94810
4.86226,5.51546,5.11977
4.93143,5.16903,4.86437
4.18720,5.60791,4.05179
4.29664,5.38544,5.77061
5.36727,4.65819,4.30974
4.07437,5.28678,5.94672
4.90080,5.87350,4.98831
4.15112,5.69734,5.72608
5.16765,5.73618,5.78338
4.28205,4.99360,4.73870
4.09247,4.21213,4.43653
4.15454,4.62827,5.96946
5.57182,4.34647,5.76261
4.84408,5.56101,5.40855
4.16182,4.94667,4.15613
4.16303,4.67436,4.95291
5.26409,5.60946,4.54013
5.50538,4.39128,4.51436
5.53934,5.14895,4.54062
4.70354,5.08574,5.62151
5.97564,5.67881,4.84540
5.87212,5.45187,5.23211
4.96027,4.73483,4.73179
4.98761,4.39188,4.15400
5.09881,4.57767,5.69272
5.77245,5.56230,4.77521
5.65699,4.51145,5.11134
4.40208,4.06073,5.99676
4.10914,5.30530,4.56761
4.25122,4.82071,4.16024
5.89365,5.13745,5.25092
5.71558,5.89795,5.26148
4.66326,4.13161,4.77735
4.12343,4.36264,5.22343
4.81146,4.53762,5.61436
4.17654,5.85042,5.90851
4.01299,4.96471,5.97679
5.25213,5.35059,4.29616
4.95937,4.64926,4.66917
4.59070,5.33089,5.93243
4.99535,4.01536,4.24939
5.87567,4.11453,5.19979
5.91396,5.51527,4.22917
5.77380,5.87886,4.37794
4.28171,5.53829,4.94086
5.41285,4.93744,4.31174
4.18663,5.91592,4.77367
5.05526,4.60683,5.08613
4.45763,4.75781,4.08556
5.46158,4.98682,4.65799
5.58893,4.74841,4.27571
5.08109,4.72275,4.95311
4.36736,4.50779,4.59131
4.18354,4.45872,4.51532
5.01435,5.33958,5.55611
4.73737,4.92565,5.77246
4.08068,5.37567,5.64086
5.24358,5.46862,4.02110
4.43993,4.86032,4.72545
5.82730,5.80814,4.98259
5.25645,5.29116,5.75466
4.66294,4.02899,4.09978
5.68196,5.88251,5.14419
4.74216,5.37297,5.26763
4.03832,4.81366,5.49279
4.60765,5.75813,5.04250
5.23596,5.74345,4.17948
5.29804,4.34642,5.27230
5.33512,5.68245,5.70855
5.06068,4.25925,5.95208
5.82212,4.95115,5.72340
4.43805,4.55670,5.81111
5.55858,5.46789,4.75906
