Real,Imag
4.593036893,5.536952351
4.099471012,5.876977890
4.506569611,5.590511552
5.595579143,4.584551527
4.428996825,5.180720570
4.249428012,4.652490861
5.786754979,5.976288147
5.937523264,4.470626238
5.667045628,5.600732725
5.935092233,4.306812783
4.408394312,4.678908702
4.335380902,5.921777479
5.102154279,5.585765119
5.286642946,4.632765579
5.329820327,5.336849372
5.053654244,5.777287453
5.543999474,5.706568364
5.913616483,5.364047437
5.389770042,4.777600550
5.909571409,5.425384011
5.540326363,5.026227690
4.706471268,5.799272571
4.946294211,4.358218813
4.912474375,4.213947534
4.805856306,5.718486768
5.799908023,4.739203693
5.538308859,4.436698776
5.313018419,4.857098099
5.043410548,5.537523263
4.380750818,4.765133151
5.659939986,5.829032174
4.650010518,4.616678925
4.322287774,5.748901921
4.304581450,4.218575584
4.957749842,5.440003295
4.825953025,5.488200348
4.142716326,5.528214462
5.577190364,4.423779663
4.300061320,4.333330153
4.846939810,4.000511116
4.696933038,4.523871843
5.649530671,5.904092412
4.821700787,4.728830948
4.108453146,5.399105098
5.631984687,5.058127282
4.813739399,4.683709007
4.258593981,4.439544381
5.066012562,4.467069090
5.607396021,4.694892436
5.224491421,4.784282055
5.562739606,4.795097012
5.116187957,5.004616104
5.818333149,4.727018840
4.650586412,5.452938458
5.140673497,4.963890299
5.968154652,4.435550082
4.065411401,5.497577363
4.057883164,4.716435288
5.735778306,4.457952315
5.254209987,5.168563714
4.437289398,5.167075309
4.032476764,5.247498779
4.278292272,5.088773426
4.731630050,4.341017665
5.254846592,4.203810387
5.167008000,5.757634864
5.051114905,5.693363778
5.404557659,4.832930880
4.561705298,5.730750638
5.166594230,5.741098304
4.604793651,4.910011294
4.598892734,5.684588209
5.329325796,5.124829381
4.484280904,5.173959621
4.070190185,4.882895196
5.883016155,5.256697655
4.091993674,5.568577085
5.233332390,5.541242217
5.639895699,5.673943034
4.976368302,5.012135826
5.853180837,4.051235748
5.515962103,5.376846473
4.759617992,5.735837883
4.403814629,4.378482047
5.298576546,4.386587578
4.137864173,5.759618357
5.169964921,5.375157225
5.353313895,4.161184759
4.584612849,5.951538987
4.957334637,4.615395880
5.461440308,4.480750408
5.226723462,5.493896228
5.009774896,4.199568651
4.240144132,4.812882137
5.032047328,4.436821721
4.903254349,5.009238824
4.170278136,4.353755219
5.591575506,5.682720647
5.052804474,5.626370165
4.373459203,5.366752480
4.997176014,4.350600143
4.237823017,4.853656114
5.508868499,4.314340579
4.919089169,5.896085720
4.436134115,4.439628627
5.465555706,4.850890333
4.721608349,5.364043273
5.037808068,4.852068192
5.921506469,4.722958064
5.177773213,5.132328107
4.314410753,5.994163403
4.223532717,4.831494945
5.868453231,4.972992297
5.649267957,4.892039301
4.209912163,5.928294370
5.769682857,5.182823181
4.840960714,5.620345242
4.796232417,4.937269911
5.813915861,4.868483138
5.830911580,4.616479384
4.399748346,5.633034877
4.707464250,5.945799329
5.402203094,5.308101407
4.390396637,5.739453269
4.238846339,4.330754509
4.379172281,4.914305618
5.080862404,4.694400600
5.821184299,5.363216101
4.185710799,5.100807845
4.668179641,5.659468917
4.401397839,5.211730272
4.102872864,5.073882072
5.805200954,4.640555188
5.419253265,5.409778529
4.014104644,4.435591232
5.838490434,4.222937486
4.384648268,5.242361377
5.851406848,5.690172173
4.687311988,5.889933076
4.047638966,5.580115483
4.572097128,5.195476681
4.677731817,5.228230433
5.590727349,5.312042827
4.392923982,4.974737344
4.780803559,4.603166210
5.520044405,5.375363402
5.652832979,4.880823860
4.792635172,4.056433507
5.916714062,5.192727005
4.602278256,4.031261894
5.592023780,5.332547536
5.823063455,5.198592833
4.869892723,4.609905361
5.371448451,4.638805249
5.833966120,4.805789312
4.274647567,5.902298975
4.183097790,5.451794736
4.351459112,5.491410337
4.184850071,5.818979762
5.927616934,4.808246869
4.597891697,5.698046854
4.973436324,4.651296174
5.912058717,4.409203640
4.260232963,5.840811282
5.219698193,5.038901537
5.530589250,5.611216836
5.747202712,5.168337239
5.235243583,5.276995684
5.457627839,4.574688354
5.763398538,5.617565890
4.271244109,4.559223682
4.916789337,4.873971774
5.587001777,4.417760425
