XX,YY
11.051,10.015
7.971,10.183
10.924,11.148
9.356,9.082
7.502,8.157
10.660,10.862
8.926,11.412
11.011,10.972
10.248,9.644
10.768,11.325
8.194,12.015
11.733,10.927
11.855,12.266
10.567,12.085
9.661,10.313
11.857,8.815
10.538,9.060
8.066,9.841
9.040,12.205
10.208,11.013
12.094,11.071
9.380,9.407
12.089,12.249
11.507,11.436
12.411,7.980
11.536,12.201
8.598,8.170
8.174,7.546
11.922,12.380
8.072,11.331
8.466,9.957
9.838,9.748
7.957,10.212
12.091,10.842
9.498,10.945
9.029,12.046
9.485,7.514
10.719,7.739
9.819,11.713
12.338,10.899
10.815,10.978
7.727,9.177
8.483,11.936
7.750,11.911
12.336,10.869
9.587,12.458
11.670,10.483
9.166,8.407
11.260,9.813
10.163,11.793
9.301,12.345
7.644,12.190
7.712,11.570
9.881,8.056
8.069,9.723
10.362,12.069
8.929,12.143
12.254,8.548
11.564,9.303
9.502,7.801
10.675,11.223
8.321,11.056
8.930,11.238
10.804,8.042
8.821,8.120
11.868,12.137
9.774,11.262
10.945,9.340
11.991,11.022
11.292,10.994
9.025,9.983
12.054,9.393
11.728,10.371
9.840,9.556
11.254,11.269
12.041,10.707
12.266,10.414
9.987,11.219
7.544,9.913
12.071,11.335
12.353,11.967
12.019,9.465
8.920,11.679
10.935,11.022
7.822,12.352
9.290,12.327
8.455,7.922
10.968,8.729
9.046,8.694
11.690,11.474
11.773,10.285
7.921,10.135
10.707,9.637
12.430,8.792
11.322,11.869
10.043,10.199
7.507,9.797
10.302,12.384
11.560,11.214
12.156,9.019
8.193,11.957
9.125,12.372
7.825,8.467
9.708,11.539
10.061,7.809
8.041,9.446
7.698,10.804
10.131,9.772
11.817,11.096
11.430,11.141
10.737,11.418
9.214,10.295
11.870,11.050
12.030,12.380
9.540,9.794
7.887,8.570
12.440,12.426
11.786,10.404
8.027,11.400
7.877,9.271
11.782,9.306
11.670,7.587
8.177,8.967
7.793,8.389
10.054,8.769
12.122,9.936
9.347,7.509
8.486,9.399
9.077,12.347
10.154,9.110
10.785,9.617
7.727,10.748
10.274,8.431
10.142,12.120
11.354,9.403
8.218,10.015
11.937,11.278
8.971,10.866
8.768,12.118
9.879,7.833
12.150,8.400
7.583,8.047
8.329,11.871
10.287,8.126
9.579,7.632
8.998,10.397
10.535,8.878
8.443,7.723
8.213,9.940
9.412,8.018
9.703,11.309
8.763,11.532
10.842,10.809
10.675,7.872
10.554,9.350
9.725,9.860
11.566,8.491
10.450,10.089
7.569,8.484
9.914,7.505
11.163,9.836
8.628,10.255
7.573,8.579
8.039,10.660
8.825,9.899
10.502,11.919
8.552,10.292
7.806,7.811
